name,city,country,latitude,longitude,phone
Sawai Man Singh Hospital,Jaipur,India,26.9005,75.8056,112
Fortis Hospital,Delhi,India,28.5672,77.2100,112
Kokilaben Hospital,Mumbai,India,19.1413,72.8296,112
Jaipur City Hospital,Jaipur,India,26.918,75.79,112
Pink City Care,Jaipur,India,26.935,75.81,112
Rajasthan Medical Centre,Jaipur,India,26.89,75.83,112
Heritage Hospital,Jaipur,India,26.95,75.78,112
Delhi Central Hospital,Delhi,India,28.62,77.21,112
South Delhi Care,Delhi,India,28.55,77.24,112
Yamuna Medical Centre,Delhi,India,28.67,77.28,112
Capital Health Hospital,Delhi,India,28.59,77.17,112
Mumbai Central Care,Mumbai,India,19.06,72.86,112
Marine Medical Centre,Mumbai,India,18.94,72.83,112
Andheri Health Hospital,Mumbai,India,19.12,72.85,112
Thane General Hospital,Mumbai,India,19.22,72.97,112
Goa Coastal Hospital,Goa,India,15.49,73.82,112
Panaji Medical Centre,Goa,India,15.50,73.83,112
North Goa Care,Goa,India,15.55,73.76,112
Singapore General Hospital,Singapore,Singapore,1.2801,103.8340,995
Tan Tock Seng Hospital,Singapore,Singapore,1.3215,103.8460,995
Mount Elizabeth Hospital,Singapore,Singapore,1.3048,103.8350,995
Raffles Hospital,Singapore,Singapore,1.3070,103.8420,995
Bali International Medical Centre,Bali,Indonesia,-8.716,115.18,118
Siloam Hospital Bali,Bali,Indonesia,-8.681,115.23,118
Ubud Medical Centre,Bali,Indonesia,-8.506,115.26,118
Kuta Health Hospital,Bali,Indonesia,-8.72,115.17,118
Dubai Hospital,Dubai,UAE,25.27,55.32,998
Rashid Hospital,Dubai,UAE,25.25,55.31,998
Mediclinic City Hospital,Dubai,UAE,25.23,55.31,998
American Hospital Dubai,Dubai,UAE,25.22,55.29,998
Bangkok Hospital,Bangkok,Thailand,13.74,100.57,1669
Siriraj Hospital,Bangkok,Thailand,13.756,100.485,1669
Bumrungrad Hospital,Bangkok,Thailand,13.746,100.55,1669
Chulalongkorn Hospital,Bangkok,Thailand,13.733,100.535,1669
Apollo Jaipur,Jaipur,India,26.91,75.79,112
Mansarovar Hospital,Jaipur,India,26.87,75.76,112
Vaishali Medical Centre,Jaipur,India,26.94,75.74,112
Jaipur Wellness Hospital,Jaipur,India,26.92,75.85,112
Cityline Hospital,Delhi,India,28.63,77.19,112
Dwarka Medical Centre,Delhi,India,28.59,77.04,112
Noida Health Hospital,Delhi,India,28.58,77.32,112
Gurgaon City Hospital,Delhi,India,28.46,77.03,112
Harbour Hospital,Mumbai,India,19.00,72.82,112
Powai Medical Centre,Mumbai,India,19.12,72.91,112
Borivali Care Hospital,Mumbai,India,19.23,72.86,112
Vasco Medical Centre,Goa,India,15.39,73.81,112
Margao Health Hospital,Goa,India,15.28,73.96,112
Calangute Medical Centre,Goa,India,15.54,73.76,112
Jhotwara Medical Hospital,Jaipur,India,26.96,75.74,112
Malviya Nagar Care,Jaipur,India,26.85,75.82,112
