city,scam,severity
Jaipur,Fake Guide,Medium
Delhi,Taxi Overcharge,High
Agra,Fake Ticket Seller,Medium
Mumbai,Tourist Pricing Scam,Low
Jaipur,Fake Taxi Meter,Medium
Jaipur,Hotel Booking Switch,High
Jaipur,Bracelet Distraction,Medium
Jaipur,Donation Collection,Low
Delhi,Fake Airport Taxi,High
Delhi,ATM Helper Scam,High
Delhi,Unofficial Tour Ticket,Medium
Delhi,Charity Solicitation,Low
Agra,Photo Fee Scam,Low
Agra,Unofficial Guide,Medium
Mumbai,Fake Ferry Ticket,Medium
Mumbai,Pickpocket Distraction,High
Mumbai,Restaurant Menu Switch,Medium
Goa,Beach Rental Deposit,Medium
Goa,Fake Party Ticket,High
Singapore,Unauthorized Tour Sales,Low
Bali,Motorbike Damage Deposit,High
Bali,Fake Temple Donation,Medium
Dubai,Taxi Route Overcharge,Medium
Bangkok,Gemstone Store Detour,High
